epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.1665518581867218,0.3501719832420349,0.5490384697914124,0.11250000447034836
0,383,0.16573293507099152,0.3974190652370453,0.3850700855255127,0.11071428656578064,,,,
1,767,,,,,0.30563822388648987,0.37604260444641113,0.5889469385147095,0.23750001192092896
1,767,0.5208910703659058,0.2596851885318756,0.715493381023407,0.4136905074119568,,,,
2,1151,,,,,0.32020026445388794,0.5636000633239746,0.5445479154586792,0.27916666865348816
2,1151,0.8851559162139893,0.08318199962377548,0.9174460172653198,0.8553571701049805,,,,
3,1535,,,,,0.268528550863266,0.6817231774330139,0.5076941251754761,0.20000001788139343
3,1535,0.983204185962677,0.01618308760225773,0.9873338937759399,0.9791666269302368,,,,
4,1919,,,,,0.3095841705799103,0.7172967195510864,0.5390015840530396,0.22499999403953552
4,1919,0.9952296018600464,0.005469806957989931,0.9970152378082275,0.9934523701667786,,,,
5,2303,,,,,0.2869168221950531,0.7685722708702087,0.5289881825447083,0.20416666567325592
5,2303,1.0,0.00046446933993138373,1.0,1.0,,,,
6,2687,,,,,0.2835676670074463,0.7914194464683533,0.544411838054657,0.20416666567325592
6,2687,1.0,0.0002022145054070279,1.0,1.0,,,,
7,3071,,,,,0.29228484630584717,0.8081612586975098,0.5511409044265747,0.2083333283662796
7,3071,1.0,0.00014342674694489688,1.0,1.0,,,,
8,3455,,,,,0.29789233207702637,0.8227124810218811,0.5739582777023315,0.21250000596046448
8,3455,1.0,0.00010861753980861977,1.0,1.0,,,,
9,3839,,,,,0.2880289554595947,0.8349904417991638,0.5692269206047058,0.20416666567325592
9,3839,1.0,8.47834162414074e-05,1.0,1.0,,,,
