epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.06440787017345428,0.4076553285121918,0.2604166865348816,0.03750000149011612
0,383,0.09961995482444763,0.4866824150085449,0.1649257391691208,0.08511905372142792,,,,
1,767,,,,,0.1608041226863861,0.37349504232406616,0.31278014183044434,0.12083333730697632
1,767,0.15511107444763184,0.35671278834342957,0.522647500038147,0.0952381044626236,,,,
2,1151,,,,,0.2031211256980896,0.36103948950767517,0.3647773265838623,0.15833334624767303
2,1151,0.32378527522087097,0.29376474022865295,0.7322964072227478,0.2261904776096344,,,,
3,1535,,,,,0.2325391173362732,0.35886889696121216,0.4587053656578064,0.17500001192092896
3,1535,0.478005588054657,0.23886580765247345,0.8709841370582581,0.35178571939468384,,,,
4,1919,,,,,0.3161137104034424,0.3632420003414154,0.5274802446365356,0.24583333730697632
4,1919,0.6646108627319336,0.18190765380859375,0.9506490230560303,0.5279762148857117,,,,
5,2303,,,,,0.29586219787597656,0.37131446599960327,0.5162971019744873,0.23750001192092896
5,2303,0.8470840454101562,0.126146599650383,0.9888211488723755,0.7452381253242493,,,,
6,2687,,,,,0.27558571100234985,0.3845190703868866,0.5284430980682373,0.21250000596046448
6,2687,0.9365130662918091,0.0815408006310463,0.9971542358398438,0.8839285373687744,,,,
7,3071,,,,,0.28021395206451416,0.3943209946155548,0.491319477558136,0.21250000596046448
7,3071,0.9720058441162109,0.0507453978061676,0.9987339973449707,0.9470238089561462,,,,
8,3455,,,,,0.2818249762058258,0.4076663851737976,0.5346824526786804,0.2083333432674408
8,3455,0.9894325733184814,0.031629931181669235,0.9993990659713745,0.9797618985176086,,,,
9,3839,,,,,0.28016653656959534,0.42452186346054077,0.5137860774993896,0.2083333432674408
9,3839,0.9939901828765869,0.02051893062889576,0.9993990659713745,0.9886904954910278,,,,
