epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.0071428571827709675,0.42036089301109314,0.02500000037252903,0.004166666883975267
0,383,0.08529646694660187,0.48424771428108215,0.16244645416736603,0.07797619700431824,,,,
1,767,,,,,0.0,0.4114926755428314,0.0,0.0
1,767,0.02525072731077671,0.41873976588249207,0.20765259861946106,0.01369047723710537,,,,
2,1151,,,,,0.008064515888690948,0.40471571683883667,0.125,0.004166666883975267
2,1151,0.0318656861782074,0.40950432419776917,0.23427288234233856,0.01726190559566021,,,,
3,1535,,,,,0.0078125,0.3995130658149719,0.0625,0.004166666883975267
3,1535,0.03200977295637131,0.40227341651916504,0.24557101726531982,0.01726190559566021,,,,
4,1919,,,,,0.01587701588869095,0.3955368101596832,0.1875,0.008333333767950535
4,1919,0.03814581036567688,0.3968547582626343,0.2700754702091217,0.02083333395421505,,,,
5,2303,,,,,0.015640273690223694,0.39222559332847595,0.1666666716337204,0.008333333767950535
5,2303,0.0454905703663826,0.3917544186115265,0.30974358320236206,0.02500000223517418,,,,
6,2687,,,,,0.03792191296815872,0.38893556594848633,0.2708333432674408,0.0208333358168602
6,2687,0.054636150598526,0.38747966289520264,0.3822977542877197,0.03035714477300644,,,,
7,3071,,,,,0.048374615609645844,0.386371910572052,0.15625,0.02916666865348816
7,3071,0.0643923357129097,0.38348326086997986,0.3812028169631958,0.03630952537059784,,,,
8,3455,,,,,0.05113636702299118,0.38326647877693176,0.2291666865348816,0.02916666865348816
8,3455,0.07218341529369354,0.3798246383666992,0.39575207233428955,0.04226190596818924,,,,
9,3839,,,,,0.055555559694767,0.3816315233707428,0.1666666567325592,0.03333333507180214
9,3839,0.08567604422569275,0.3763825595378876,0.44952934980392456,0.05000000074505806,,,,
