epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.371035635471344,0.2740181088447571,0.6517939567565918,0.3125
0,383,0.1846199929714203,0.3847334086894989,0.43653368949890137,0.12142857909202576,,,,
1,767,,,,,0.5950813293457031,0.2119758278131485,0.8527800440788269,0.5416666269302368
1,767,0.5957257747650146,0.22256089746952057,0.7501875758171082,0.5184524059295654,,,,
2,1151,,,,,0.6349298357963562,0.24793148040771484,0.7811596393585205,0.612500011920929
2,1151,0.8100771903991699,0.122191421687603,0.8707146644592285,0.7636904716491699,,,,
3,1535,,,,,0.7011798024177551,0.24357736110687256,0.7692772150039673,0.6791666746139526
3,1535,0.9308850765228271,0.049038324505090714,0.9467366337776184,0.9166666269302368,,,,
4,1919,,,,,0.6581443548202515,0.330145925283432,0.7693573236465454,0.6499999761581421
4,1919,0.9668539762496948,0.024805931374430656,0.9750252962112427,0.9589285850524902,,,,
5,2303,,,,,0.653719425201416,0.3794386684894562,0.7531118392944336,0.637499988079071
5,2303,0.9847707748413086,0.013540779240429401,0.9874423742294312,0.9821428656578064,,,,
6,2687,,,,,0.6981228590011597,0.3038848340511322,0.7532250285148621,0.675000011920929
6,2687,0.9904420375823975,0.008683986030519009,0.9928085803985596,0.988095223903656,,,,
7,3071,,,,,0.7283585071563721,0.3510580062866211,0.7795472145080566,0.7250000238418579
7,3071,0.9982156753540039,0.0018863751320168376,0.9982199668884277,0.9982142448425293,,,,
8,3455,,,,,0.7100202441215515,0.3741481602191925,0.7872347235679626,0.6875
8,3455,0.9997016787528992,0.000443432159954682,1.0,0.999404788017273,,,,
9,3839,,,,,0.707359790802002,0.36954089999198914,0.7947720289230347,0.6708333492279053
9,3839,1.0,8.966906898422167e-05,1.0,1.0,,,,
